운동명,운동방법,개요
업라이트 로우,"두 손으로 사용할 기구를 잡는다. 스트레이트 바, 이지 바, 덤벨, 심지어는 케이블도 무방하다. 기구를 잡을 때는 20~25cm 사이의 간격으로 잡는 것이 좋으며, 시작 전에는 반동이 일어나지 않게 주의한다.





몸통을 고정한 후 천천히 기구를 들어올린다. 앞서 말한 것처럼 숨을 들이쉬면서 기구를 올리는 호흡법을 사용하면 적합하다. 위치는 턱 바로 아래에서 멈추는 것이 효과적이다.





숨을 내쉬면서 천천히 기구를 내려놓고, 처음 자세로 돌아오면 자세를 지키며 반복한다. 업라이트 로우를 할 때는 무엇보다 적정 중량을 지키는 것이 중요하므로 너무 무겁지 않은 기구로 설정하는 것이 좋다.","업라이트 로우(Upright Row)는 승모근과 삼각근을 주로 사용하는 운동이다. 바벨이나 덤벨, 케이블, 스미스 머신을 사용할 수 있으며 동작에 변형을 줘서 주로 자극되는 근육 부위를 다르게 할 수 있다."
윗몸 일으키기,"하늘을 보고 누운 상태에서 무릎을 살짝 세웁니다. 두 손은 가볍게 머리 뒤 쪽에 가져다 댄다는 느낌으로 살포시 얹은 상태에서 운동을 시작합니다. 복부를 긴장시킨 상태에서 복부의 힘으로 상체를 그대로 끌어 들어올립니다. 상체가 완전히 일어나면 다시 뒤로 복부의 긴장을 유지하며 넘어 갑니다. 완전히 눕지 않고 복부 긴장을 유지할수 있는 정도까지 누웠다가 반복해 줍니다.



복부의 긴장은 계속해서 유지 해줘야 합니다. 팔 힘으로 상체를 억지로 일으키면 안됩니다. 바닥에서 튕기듯이 올라오는 힘으로 진행하지 않게 주의해야 합니다. ","윗몸 일으키기-활동근육:배근육(복근),엉덩근(장골근),허리근(요근)"
스탠딩 카프 레이즈,"1. 균형을 유지하기 위해 벽이나 의자 근처의 바닥에 발을 어깨너비만큼 벌리고 서세요.
2. 체중을 발가락에 싣고 발뒤꿈치를 바닥에서 들어 올리세요.
3. 제일 높은 위치에서 몇 초 동안 멈추고 천천히 몸을 시작 위치로 낮추세요.",카프 레이즈는 비복근과 가자미근에 도움이 됩니다. 이들은 주요 발바닥쪽 굽힘으로 정의됩니다.
싱글 레그 카프 레이즈,"1. 한쪽 다리로 서서 다른 쪽 다리를 뒤로 구부린 다음 균형을 위해 테이블이나 벽 근처에 서세요. 그러나 테이블을 사용하는 경우 몸을 들어 올릴 때 테이블을 누르지 마세요. (기대지 마세요)
2. 종아리를 들어 올리면서 발꿈치를 바닥에서 최대 높이가 될 때까지 들어 올립니다.","근육 명칭은 주 운동 근육 부위는 비복근, 부운동 근육 부위는 가자미근입니다."
스탠딩 바벨 카프 레이즈,"1. 똑바로 서서 대퇴 사두근을 꽉 조이고 양쪽 무릎을 고정합니다. 그 후, 긴장을 풀고 고정시킨 무릎을 풀되, 대퇴 사두근을 꽉 조이세요.
2. 발바닥 앞쪽을 사용하여 몸을 들어 올리고 발뒤꿈치를 완전히 들어 올리세요. 2초 동안 자세를 유지하고 종아리 근육을 조입니다.
3. 발뒤꿈치가 바닥에 닿을 때까지 천천히 몸을 내립니다.",카프 레이즈는 비복근과 가자미근(넙치근)에 도움이 됩니다. 이들은 주요 발바닥쪽 굽힘으로 정의됩니다. 
기구를 사용하지 않는 동키 카프 레이즈,"1. 작은 벤치나 단에 서서 뒤꿈치가 가장자리에 약간 매달려 있도록 합니다.
2. 몸통을 바닥과 평행하게 하여 몸을 굽히고 지지를 위해 고정된 물건을 잡으세요.
3. 종아리 근육을 구부리고 가능한 한 높이 몸을 들어 올린 다음 시작 자세로 돌아갑니다.
4. 일반적인 동키 카프 레이즈의 대안을 원한다면 한 번에 한쪽 다리만 움직이거나 무릎을 구부린 상태로 수행하거나 웨이트 벨트를 착용하여 움직임을 강화하세요.
",카프 레이즈는 비복근과 가자미근(넙치근)에 도움이 됩니다. 이들은 주요 발바닥쪽 굽힘으로 정의됩니다. 
기구를 사용한 동키 카프 레이즈,"1. 동키 카프 레이즈 기구에서 발바닥 앞쪽을 단 위에 놓고 윗 둔근이나 허리를 패드 아래에 놓습니다.
2. 팔걸이에 팔뚝을 올려놓고 손잡이를 잡습니다.
3. 발가락으로 누르세요. 뒤꿈치를 바닥으로 내리기 전에 꽉 쥐세요.",카프 레이즈는 비복근과 가자미근(넙치근)에 도움이 됩니다. 이들은 주요 발바닥쪽 굽힘으로 정의됩니다. 
스탠딩 덤벨 원 레그 카프 레이즈,"1. 한 발로 상자나 단 위에 서세요. 한 손으로 덤벨을 잡고 다른 손으로 고정된 표면이나 물체를 잡습니다.
2. 발목을 펴고 뒤꿈치를 들어 올리면서 숨을 내쉬세요. 2초 동안 유지하세요.
3. 천천히 숨을 들이쉬면서 움직임을 되돌립니다. 여러 번 반복하고 다른 쪽 다리로 반복하세요.",카프 레이즈는 비복근과 가자미근(넙치근)에 도움이 됩니다. 이들은 주요 발바닥쪽 굽힘으로 정의됩니다. 
시티드 덤벨 카프 레이즈,"1. 벤치 끝에 앉으세요. 바로 앞에 블록이나 계단이 있어야 합니다. 양쪽 다리에 덤벨을 놓습니다.
2. 발뒤꿈치를 바닥 쪽으로 내려놓습니다. 이 자세가 시작 자세가 될 것입니다.
3. 덤벨을 무릎에 대고 뒤꿈치를 최대한 바닥에서 천천히 들어 올리면서 종아리를 조입니다.
4. 시작 자세로 돌아가 반복하세요.",카프 레이즈는 비복근과 가자미근(넙치근)에 도움이 됩니다. 이들은 주요 발바닥쪽 굽힘으로 정의됩니다. 
기구에서 하는 시티드 카프 레이즈,"1. 단 위에 발바닥 앞쪽을 높은 상태로 기구에 앉으세요. 발가락이 앞을 향해야 하므로 발뒤꿈치가 자연스럽게 떨어집니다.
2. 무릎 패드 아래에 대퇴 사두근의 맨 아랫부분을 두고 손을 위로 올리세요.
3. 발목을 펴고 안전 바를 해제하세요.
4. 종아리가 완전히 펴질 때까지 뒤꿈치를 내립니다. 종아리를 구부리면서 숨을 내쉬고 발목을 펴세요. 이를 반복합니다.
",카프 레이즈는 비복근과 가자미근(넙치근)에 도움이 됩니다. 이들은 주요 발바닥쪽 굽힘으로 정의됩니다. 
레그 프레스 카프 레이즈,"1. 발 폭을 좁게 둔 채로 발바닥 앞쪽을 여러분 앞쪽의 단의 바닥 부분에 두고 레그 프레스 기구에 앉으세요. 운동할 무게를 선택하세요.
2. 종아리를 사용하여 단을 밀어서 뒤로 이동합니다. 다리가 스트레칭 되는 것을 느껴야 합니다.
3. 시작 자세로 돌아가서 반복하세요",카프 레이즈는 비복근과 가자미근(넙치근)에 도움이 됩니다. 이들은 주요 발바닥쪽 굽힘으로 정의됩니다. 
스미스 카프 레이즈,"1. 스미스 기구의 바 아래에 블록 또는 웨이트 플레이트를 놓습니다. 바가 높이에 맞게 적절하게 배치되었는지 확인하세요.
2. 발바닥 앞쪽으로 블록이나 플레이트를 밟고 서서 바를 어깨 위에 놓습니다.
3. 앞을 향한 상태에서 양손으로 바를 잡고 회전하여 기구에서 분리시킵니다.
4. 발뒤꿈치를 가능한 한 높이 올리고 발바닥 앞쪽으로 밀어내세요. 충분히 수축을 하는 동안 종아리를 구부리고 무릎을 펴세요. 이 자세를 1초 동안 유지하세요.
5. 숨을 들이마시고 뒤꿈치를 내리고 시작 자세로 돌아갑니다. 이를 반복합니다.
",카프 레이즈는 비복근과 가자미근(넙치근)에 도움이 됩니다. 이들은 주요 발바닥쪽 굽힘으로 정의됩니다. 
시티드 스미스 카프 레이즈,"1. 스미스 머신에 평평한 벤치를 놓고 바 아래에 계단이나 블록을 놓습니다. 바를 낮추고 사용하려는 무게를 추가하세요.
2. 벤치 끝에서 자세를 취하세요. 발과 무릎을 모으세요. 발바닥 앞쪽은 블록의 가장자리에 있어야 합니다.
3. 랙에서 바를 조심스럽게 제거하고 허벅지에 놓습니다.
4. 발뒤꿈치를 최대한 떨어뜨리되 바닥에 닿지 않도록 하세요. 가능한 한 높이 올리세요.
5. 종아리 근육을 꽉 쥐고 시작 자세로 돌아갈 때 발뒤꿈치를 천천히 내립니다. 이를 반복합니다.",카프 레이즈는 비복근과 가자미근(넙치근)에 도움이 됩니다. 이들은 주요 발바닥쪽 굽힘으로 정의됩니다. 
케이블 로우,"
1. 머신에 앉아 발판에 발을 올린후 무릎을 살짝 굽힌다

무릎을 살짝 굽힌 후 운동을 진행하시면 안정된 자세로 운동을 진행할 수 있습니다.



2. 허리를 펴고 가슴을 내민 상태에서 운동을 진행한다

허리를 기울이고 숙이신 상태에서 운동하실 경우 등근육에 자극도 안되고 허리 부상의 위험만 있습니다.

허리를 펴고(기립근에 힘을 주고 아치형으로) 가슴을 내민상태에서 운동을 진행하셔야합니다.



3. 중량을 당길때 등중앙부를 접는다는 느낌으로 , 팔꿈치로 뒤에 있는 사람을 때린다는 느낌으로 당긴다

등 중앙부를 최대한 접는다는 느낌으로 중량을 당기시면 근육성장에 도움이 됩니다.

시티드 케이블로우를 진행하시다보면 등이 안아프고 팔만 아프시다는 경우가 있는데

이 경우 일단 중량을 낮추신 후 팔로 중량을 당기신다고 생각하지 마시고

팔꿈치로 뒤에 있는 사람을 때린다는 느낌으로 당기시면 등근육에 더 집중하시면서 당기실 수 있습니다.



4. 중량을 당기 실 때 가슴이 마중나가는 느낌으로

중량을 당기 실때 등중앙부를 접으시면서 가슴이 마중나가는 느낌으로 당기시면 등근육에 더 집중하실 수 있습니다.



5. 중량을 당기실 때 등을 쥐어짠다는 느낌으로 진행하기

중량을 당기실 때 등을 쥐어짠다는 느낌으로 0.5~1초 정도 버티시면 짜릿한 등 자극을 느끼실 수 있습니다.

?

6. 중량을 내릴 때 중량을 등으로 버티면서 내린다는 느낌으로 내린다

중량을 내리실때 힘이 없어 내던지는듯이 중량을 내리는 분들이 있는데 이 경우 근육의 집중이 줄어들며 허리 부상의 위험이 있습니다.

중량을 등으로 버티면서 내리는 느낌으로 내리시면 근육성장에 도움이 됩니다.

시티드 케이블로우의 경우 중량을 내릴 때 두가지 자세가 존재하는데요. ( 위 로니콜먼과 도리안예이츠 영상 참고 )

허리를 지지한상태에서 중량을 들어올리고 내리는 경우와

중량을 내리실때 자연스럽게 몸이 따라나가면서 등을 최대한으로 스트레칭시키는 방법이 있습니다.

후자의 경우 등이 스트레칭 되는 느낌을 받을 수 있으며 이완 수축이 잘되어 더 큰 등 자극을 느낄 수 있습니다.

다만 등근육의 사용방법을 잘모르는 초보자의 경우 허리만 아프고 오히려 운동효과가 떨어질 수 있으니

저중량으로 등을 스트레칭하는 느낌을 알아내신 후 이 자세를 이용하시는게 좋습니다. ( 일정한 리듬이 있어요. )



7. 고중량으로 진행하기

머신으로 진행할 수 있어 부상의 위험이 덜한 운동이므로 고중량으로 진행하셔도 좋은 운동입니다. ( 자세가 흐트려지지 않는선에서 )

다른 부위보다 등운동은 고중량으로 진행할 수록 효과가 크다고 생각합니다.



8. 운동 전후 허리 스트레칭 필수

등운동의 경우 허리에 부담이 많이 가므로 가벼운중량으로 워밍업 및 스트레칭으로 허리를 풀어주는게 좋습니다.



9. 다양한 그립으로 진행하기





[ 사진 좌측부터 페러럴 그립, 로프그립, 오버그립, 리버스그립 ]



시티드케이블로우 경우 보통 페러럴 그립으로 진행하는게 정석이지만

로프를 이용한 그립이나 넓은 바를 이용한 오버그립, 리버스그립으로도 진행할 수 있습니다.

( 다양한 그립으로 바꿔 끼울 수 있습니다. 시티드 케이블로우의 또 다른 장점. )



로프를 이용할 경우 등 중앙부를 더 쥐어짤 수 있으며

오버그립의 경우 등 상부에 더 집중을 리버스그립의 경우 등 하부에 더 집중을 할 수 있습니다.

개인적으로 오버그립을 이용하는 시티드 케이블로우의 자극을 굉장히 잘 느끼고 좋아하는 편입니다.

다양한 그립으로 진행해보시고 자신에게 느낌이 잘오는 그립으로 운동을 진행하시면 좋습니다.","케이블 로우의 주요 자극 부위는 광배근 입니다. 중하단쪽에 넓게 자리잡고 있는 근육이지요 가장 넓은 부위라고 할수 있어서 등 근육 운동은 광배근을 주로 노려서 운동합니다. 광배근 말고도 승모근의 중간부분, 그리고 작은 능형근에까지 자극을 주게 되는 운동입니다."
크런치,"바닥에 누워 무릎을 구부리고 발이 바닥과 떨어지지 않도록 한다.
 
양손을 귀에 대고 복부에 힘을 주면서 고개를 살짝 든다.

어깨가 바닥에서 약 10cm 떨어지도록 등을 둥글게 구부리면서 상복부를 수축한다.

상복부의 긴장을 느끼면서 천천히 몸통을 바닥으로 눕힌다.이때 머리가 완전히 바닥에 닿지 않도록 한다.",복근 중 상부를 강화하는 운동으로 윗몸 일으키기의 변형 동작이다.
풀업,"① 풀업바(철봉)을 어깨너비보다 약간 넓게 손등이 몸 쪽을 향하게 잡습니다. (오버그립으로 잡습니다.)

② 매회 풀업 동작 전 어깨의 힘을 풀어줍니다. 어깨의 힘을 완전히 풀어놓은 채 매달려 있는 자세(데드행 자세라고 합니다.)로 시작합니다. 어깨에 힘을 준 채로 상체를 오르내리면 어깨의 근육 긴장 시간(TUT, time-under-tension)이 지나치게 오래 지속됩니다.

③ 몸은 반동이나 흔들림이 없는 정자세에서 견갑골(날개뼈)을 뒤로 젖히고 내려줍니다. (숄더패킹이라고 합니다.)

숄더패킹을 한 상태로 상체가 올라가면 광배근의 운동을 더욱 활성화시킬 수 있습니다.

④ 이 상태에서 팔꿈치를 뒤로 보낸다는 느낌으로 견갑골을 모아주면서 올라갑니다. 팔만 사용하는 것이 아니라 반드시 견갑골은 내리고 팔꿈치는 갈비뼈 쪽으로 모아주면서 올라가도록 합니다. 상체가 올라갈 때에는 몸의 반동이나 흔들림이 이 없어야 합니다.

⑤ 내려올 때에는 바로 힘을 빼서 내려오기보다는 천천히 근육의 이완을 느끼면서 내려옵니다. 호흡은 당길 때(몸이 올라갈 때) 숨을 내뱉고, 팔을 펼 때(몸이 내려갈 때) 숨을 들이쉽니다.","풀업의 주동근은 상완이두근과 등근육이 발달되며, 풀업바를 강하게 쥐게 하는 전완근의 힘, 악력과 숄더패킹을 유지하기 위한 중하부 승모근도 보조적으로 발달합니다. 결국 상체 전반을 단련한다고 볼 수 있습니다. 특히 광배근을 단련하는 데에 이 운동만 한 것이 없다고 전해집니다. 광배근 발달에 최적인 운동인 만큼, 어깨와 등이 넓어지고 상체가 커 보이는 효과를 가져옵니다.
"
트라이셉스 푸시 다운,"케이블 푸쉬 다운을 하기 위해서는 먼저 그립을 선택해야 합니다. 다양한 형태의 그립이 존재(더 다양하다)하는데 기본적으로 일자로 된 그립을 사용합니다. 다른 그립과 일자 그립의 차이를 설명하자면 손목 외측의 편안함을 위해서 적용되었다고 보면 됩니다. 팔꿈치 관절의 구조상 일부 사람들의 경우 일자 그립을 잡으면 손목 외측(손목에 뼈 튀어나온 부분)이 불편할 수 있기 때문입니다. 그런 사람들의 경우 30~45도 정도만 꺽어주면 편안하게 그립을 잡고 할 수 있기 때문에 일자 그립 외에도 다양하게 꺽인 그립들이 존재하는 것입니다. 삼두근의 경우 척골(팔꿈치 뼈)와 연결되어 있기 때문에 상완이두근과 다르게 손목의 회전이 그렇게 근육 운동에 영향을 미치지 못합니다. 결국 자신의 손목에 편안 그립을 쥐고 하는 것을 추천합니다. 손목의 경우 꺾이지 않게 하는 것이 좋습니다. 손목은 곧게 펴서 썸리스 그립이나 오버그립 중 편한 것을 택하면 좋을 것 같습니다.

케이블 푸쉬 다운을 할 때 케이블과의 거리와 허리 각도는 45~60도 정도 나오게 해서 자연스럽게 케이블에 저항이 상완삼두근에 걸리는 거리가 적당한 거리입니다. 상체를 세우면 가까이 붙어도 저항이 걸릴 것이고 상체를 숙일수록 멀리 떨어져야 저항이 걸릴 것이다. 가장 적당한 각도는 45~60도 정도로 허리를 숙여서 케이블이 살짝 당겨져서 저항이 걸리는 것으로 팔꿈치 부상을 방지하고 어깨 개입을 최소화한 상태에서 운동할 수 있기 때문입니다. 상체가 너무 세워지면 중량을 컨트롤하기가 어려워지고 어깨 개입을 막기가 힘들며 상체를 너무 숙이면 어깨/팔꿈치 관절의 움직임을 제어하기가 힘들어 질 수 있습니다.

케이블 푸쉬 다운 수축 시에는 45~60도 정도 상체를 숙여서 상완삼두근에 저항을 가둔 후에 삼두근의 수축을 이용하여 팔을 펴도록 합니다. 이때 주의할 점은 어깨 관절이나 내릴 때 상체를 숙여 몸통으로 중량을 누르거나 허리의 움직임을 통해서 중량을 제어하면 안되고 상완삼두근만을 이용해서 수축할 수 있도록 해야 합니다. 이완 시에는 몸이 중량에 따라 올라가거나 팔꿈치 관절이나 어깨 관절이 회전되어 이동하여 중량을 따라 올라가면 안됩니다. 가벼운 중량으로 가동범위를 충분히 이용하거나 무거운 중량으로 가동을 제한해서 실시하는 것이 좋습니다. 약간의 치팅으로 어깨관절은 약간 올라가는 것을 용납해도 되나 팔꿈치 관절은 각도를 딱 고정시키고 동작하는 것을 추천합니다.

수축시 팔 각도. 팔꿈치를 펴는 가장 단순한 역할을 하는 근육은 내측두이다. 내측두가 가장 가벼운 무게에서 그리고 가장 빠르게 동원됩니다. 무게가 올라갈수록 외측두와 장두가 동원되는데 장두의 시작점이 내/외측두와 다르게 견갑골에 달려있기 때문에 팔을 풀오버처럼 몸쪽으로 당겨줘야 더 자극을 받게 됩니다. 장두를 충분히 자극주기 위해서는 상체를 60도 정도까지 세우고 수축 동작에서 장두의 힘을 이용해서 견관절을 몸쪽으로 더 신전시켜(팔을 뒤로 젖혀) 수축해야만 장두까지 쓸수 있게 됩니다. 사실 케이블 푸쉬 다운은 장두까지 적극적으로 사용하는 데에는 제약이 있다고 설명해야 합니다. (정말 장두를 먹이고 싶다면 라잉 트라이셉스 익스텐션 자세를 거꾸로 바꿔서 케이블에서 실시 할 경우 벤트오버 자세를 만들고 팔꿈치를 얼굴있는 데 까지 들어 푸쉬다운을 하게 되면 장두가 최대한으로 이완되기 때문에 효과적으로 장두를 잡을 수 있습니다). 케이블로 복합적으로 하기가 싫다면 인클라인에서 실시하는 원암덤벨킥백 등과 케이블 푸쉬다운을 조합함을 추천한다. 케이블 운동은 자극의 고립감이 좋은 운동이고 바벨이나 덤벨을 사용하는 운동에 비해서 부상 위험도가 낮습니다. 그 대신 중량을 사용하는데 제한이 있기 때문에 적절한 중량으로 최대 자극을 얻는 방향으로 운동할 때 좋은 운동 도구가 될 수 있습니다. 삼두 운동을 처음 시작하는 사람이나 상대적으로 삼두의 힘이 부족한 사람이라면 케이블 푸쉬 다운을 적극 활용해 볼 것을 추천합니다.",일반적인 트라이셉스 푸시다운의 경우 삼두 외측두가 주로 자극 받은 부위가 됩니다.
푸쉬업,"팔

팔은 어깨 넓이 아니면 살짝 더 넓게 벌리는것이 좋습니다. 너무 좁게 잡는다면 팔에 조금더 자극이 갈수 있지만 평소에 운동을 안하시는 분에게 팔꿈치에 무리가 될수있습니다. 팔을 너무 넓게 벌린다면 어깨에 무리가 갈수 있습니다. 손은 가슴 높이에 맞게 두시는게 좋습니다.

허리
허리는 배에 힘을 주는것이 포인트입니다. 배에 힘을 주면서 허리가 뒤로 말리지 않아야 제대로 된 팔굽혀펴기입니다. 이렇게하면 코어운동에도 좋고 상체의 근육이 더 탄탄해집니다.

발
발은 붙혀도되고 살짝 떨어져있어도 괜찮습니다. 하지만 너무 떨어져있으면 코어운동이 제대로 되지 않습니다. 되도록이면 발은 최대한 붙히는게 좋습니다

시선
시선은 땅을 바라보거나 45도 정도 앞까지 보는것이 좋습니다. 너무 앞을 바라본다면 허리가 내려갈수 있고 자세가 틀어질수 있습니다.

호흡
호흡은 천천히 내려가면서 들이마시고 올라오면서 내뱉는것이 맞습니다. 참지만 않으시면 됩니다.","운동 부위

주운동 근육 부위 - 대흉근 (pectoralis major)

상완삼두근

삼각근

부운동 근육 부위 - 상완삼두근 (triceps), 삼각근 (deltoid)
"
풀오버,"1. 플랫벤치에 등,엉덩이는 붙이되 허리는 S라인 아치형으로 펴서 누워주세요









2. 양손으로 덤벨을 잡아줍니다 (손바닥이 하늘에 가게끔)



3. 덤벨의 위치는 어깨와 수직이 되어야합니다 :)

 



4. 팔꿈치를 구부리며 서서히 아래로 내려가세요

?

 



5. 덤벨이 어깨선보다 더 아래로 내려가지 않게끔 내리며 가슴을 이완시켜요!

?

 





6. 호흡을 뱉으며 포물선을 그리듯 올려줍니다","덤벨 풀오버 자극부위



대흉근(가슴)전체, 상완삼두근, 광배근 및 대원근 "
밀리터리 프레스,"① 시작 전 빈 봉이나 막대 등으로 어깨, 허리 부위를 충분히 스트레칭합니다. 프리웨이트 운동에서는 몸의 예열이 가장 중요합니다. 스트레칭을 충분히 해야 부상을 방지할 수 있습니다.

② 바벨을 스쿼트랙에 가슴 높이에 오도록 걸쳐놓습니다.

③ 다리를 구부려 바를 어깨 쇄골 상단에 위치시키고, 그립은 어깨너비보다 살짝 넓게 잡습니다. 팔꿈치는 어깨보다 앞으로 나가도록 그립을 잡아줍니다. 팔꿈치를 어깨와 일직선으로 잡게 되면 전면 삼각근의 자극이 덜 들어가게 됩니다.

④ 바를 들고 나온 뒤, 발을 어깨너비만큼 벌려줍니다. 무게중심은 발의 중간(미드풋)에 위치하고 있어야 합니다. 바벨 또한 미드풋의 수직선상에 위치해야 합니다. 

⑤ 숨을 크게 들이 마신 후 배에 힘을 준 채 엉덩이와 몸통을 조인 상태에서 바를 그대로 위로 들어 올립니다. 바벨을 뻗을 때 상체를 앞으로 내밀면 팔이 귀에 밀착되어 자세가 좋아지고 등을 굽어지지 않습니다. 

⑥ 바벨을 완전히 들어올렸을 때 호흡을 뱉어주고, 바벨을 내려줄 때에는 상체를 살짝 뒤로 젖히면서 바벨을 무게중심 상에 오도록 해줍니다.","밀리터리프레스 운동은 삼각근을 주동근으로 사용하며 특히 전면 삼각근을 키우는데 효과가 있습니다. 그 외에도 삼두근과 상부 승모근도 자극이 들어갑니다. 어깨의 매스나 근력을 키우는데 가장 효과적인 복합 운동이며 특히 밀리터리 프레스 같은 경우는 보조적으로 등, 복부, 하체 등의 근육이 쓰이기 때문에 전신 운동에 가깝습니다. 따라서 밀리터리 프레스는 코어 단련에도 효과적인 운동입니다."
덤벨 플라이,"
1) 손바닥이 서로 마주보게 덤벨을 잡아 허벅지에 올려 놓고, 뒤로 드러누운 후 가슴위로 양팔을 쭉 밀어서 붙혀주세요

   (이것이 덤벨 플라이의 준비자세 이면서 마지막 자세입니다)

2) 팔꿈치를 자연스레 살짝 구부리며 가슴 옆방향으로 팔을 천천히 펼쳐줍니다

   (가슴이 완전히 스트레칭 되는 지점인 벤치 높이까지 팔꿈치가 이르도록 하세요)

3) 호흡을 내쉬며 날개짓 하듯 반원을 그리며 덤벨을 모으세요

   (가동범위를 충분히 활용하기 위해 덤벨이 부딪혀 ""깡""소리가 나도록 하십시오)

4) 동작의 정점에서 가슴근육을 강하게 한번 짜준 후 호흡을 들이쉬며 2)번 과정을 다시 반복합니다",덤벨 플라이는 가슴근육~대흉근! 그중에서도 안쪽 부위를 특히 자극하는 운동이랍니다.
플랭크,"1. 자연스럽게 엎드린다.

2. 팔꿈치 간격은 어깨너비 정도로 벌린다.

3. 양손은 자연스럽게 바닥에 붙이거나, 주먹을쥐고 모으거나등등 편하게 자세를 잡는다.

4. 복부에 힘을 주고 배를 자연스럽게 지면에서 띄운다.

5. 버틴다.

6. 머리는 축 늘어뜨리지 않도록 한다.

7. 팔의 각도는 지면과 90도 각도가 되도록 한다.","플랭크 자세는 견갑골과 쇄골, 어깨, 가슴, 복부 전체, 둔근과 전반적인 하퇴근육을 단련시켜준다. 고로 몸의 근력과 협응력, 파워, 유연성을 고루 발달시켜준다. 무엇보다 가장 큰 이점으론 전신근육의 압축이다. "
굿모닝,"1. 양발을 어깨넓이로 서서, 어깨엔 바벨을 올려놓는다.

2. 무릎을 약간 굽히고 시선은 정면을 보며

인사하듯이 천천히 90도로 허리를 굽힌다.

3. 척추기립근에 저항을 느끼며 천천히 원래자세로 돌아온다.

 '굿모닝' 주의사항 및 노하우 팁>

1. 시선은 전방을 향하고 허리를 아치형으로 유지하며 운동한다.

2. 무릎을 펴고하면 허벅지 뒷쪽에 더욱 자극을 줄 수 있으나,

척추기립근(허리)발달을 원한다면 무릎을 살짝굽히고 운동한다.

3. 굿모닝은 중량을 높이지 않고 천천히 자극을 느끼며 운동에 임한다.

4. 아래 사진과 같이 바벨없이 양손을 머리뒤에 대고 운동할 수 있다.","허리와 힙, 허벅지 뒤쪽 까지 뒤쪽 근육 전체를 자극하는 좋은 운동이에요."
내로우 푸쉬업,"<운동순서>

 

① 양쪽 엄지손가락과 집게손가락이 서로 붙도록 손을 붙이고 팔굽혀펴기 자세를 취한다.

 

② 숨을 들이마시면서 가슴이 양쪽 손등에 닿을 정도로 팔을 굽힌다. 이때 팔꿈치는 옆구리에 가깝게 위치시킨다. 팔을 굽힌내린 상태에서  1~2초간 멈춘 후,  숨을 내쉬면서 원래 상태로 팔을 펴서 힘껏 밀어 올린다.

 

 


<주의 및 참고사항>

 

-팔을 굽힐때에는 팔꿈치를 옆구리에 가깝게 위치시킨다.
- 상체와 엉덩이, 다리는 일직선이 되어야 한다. (동작중에 상체가 쳐져서는 안된다. )
- 반복 횟수를 20회 이상 할 수 있을 경우에는 높은 곳에 발을 올려놓고 하거나 배낭에 원판을 넣어서 그것을 매고 운동하면 보다 강한 자극을 줄 수 있다.

",주 운동 부위는 삼각근과 대흉근의 개입이 가장 큽니다?
내로우 그립 풀업,"내로우 그립 풀업 운동방법
1. 어깨너비보다 좁게, 그리고 손바닥이 서로 마주보도록 바를 잡는다.
2. 가슴을 펴고 어깨를 살짝 뒤로 내준 상태에서 가슴이 바에 닿는다는 느낌으로 당긴다.","등은 크게 광배근, 대원근,
능형근, 등"
덤벨 벤트오버 레터럴 레이즈,". 덤벨을 잡고 벤트오버 (Bentover) 자세를 취합니다

여기서 벤트오버(Bentover)  자세란..?

 상체를 숙인 동작을 말하는 것으로 초보자 분들은 저처럼 등을 너무 구부리는 것보단

 엉덩이를 살짝 빼고 허리를 편 상태에서 운동하는 것을 추천합니다.

2. 손바닥이 마주보도록 덤벨을 잡고 운동을 시작할 준비를 합니다.

3. 덤벨을 힘차게 들어 올리고 내릴 때 저항을 느끼며 천천히 내려 옵니다.



여기서 주의할 점은 .. ?

- 덤벨을 올릴 시에 잡아 당겨준다는 느낌으로 올리나 팔꿈치와 견갑골이 과하게 움직일 경우

등근육의 참여가 높아지므로 주의한다.

(견갑골을 많이 움직일 경우 로우의 형태와 비슷한 운동이 되어 버린다.)

- 레터럴 레이즈(Lateral Raise) 동작은 올릴 때 보다도 내릴때 얼마나 저항을 느끼냐에 따라 운동효과가 달라진다.

  프레스 류 운동과는 다르게 중량을 많이 들지 않는 운동 이므로 저항을 많이 느끼며 이완 시켜주고, 

 절대 고 중량을 사용하지 않는게 좋습니다.(저는 15~20rep 할수 있는 무게를 선택하는 편입니다.)",벤트 오버 레터럴 레이즈는 어깨 근육인 삼각근 후면 부위를 발달 시켜주는 운동
